country,unempbenefits,afp_totlabforce,afp_total,cgd_total,cureduexpen_pri,cureduexpen_sec,cureduexpen_ter,cureduexpen_total,eduattain_doctoral,eduattain_bachelor,eduattain_master,eduattain_sec,eduattain_postsec,eduattain_primary,eduattain_tertiary,eduattain_uppersec,expense,life_expectatbirth_fem,life_expectatbirth_male,life_expectatbirth_total,milexp_gdp,milexp_usd,peacekeepers,suic_mortalityrate_pop,suic_mortalityrate_female,suic_mortalityrate_male,totalreserves,unemptotal_modeiloest,unemptotal_nationalest,score,socialsupport,pay_usd
Haiti,,,,,,,,,,,,,,,,,,65.832,61.5,63.66,0.000856220591330882,79690.8881656554,,,,,107.097569474049,13.5920000076294,,3.597,0.688,
Honduras,,,,,,,91.9658584594727,,,9.58257007598877,,31.1811904907227,9.74761009216309,59.5486717224121,9.74761009216309,23.0666198730469,,77.378,72.771,75.088,1.61624562170236,385320064.206471,,,,,52.0254276674121,5.64799976348877,5.64830017089844,5.86,1.236,
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,87.7,82.3,84.9341463414634,,,,,,,,2.90300011634827,,5.43,1.2770000000000001,59230.769230769231
Hungary,,,,,,,,,,,,,,,,,40.4413338816771,79.6,72.7,76.0658536585366,1.15046101296929,1791545364.63643,,,,,,3.70799994468689,3.70849990844727,5.757999999999999,1.41,33076.923076923077
Iceland,,,,,,,,,,,,,,,,,29.4971704344353,84.5,81.3,82.8609756097561,0,0,,,,,,2.7039999961853,2.7039999961853,7.494,1.624,
India,,,,,,,,,,,,,,,,,15.6040431923551,70.692,68.239,69.416,2.38257160955797,66257801718.275,,,,,76.6105313969638,5.32999992370605,5.32969999313354,4.015,0.765,27906.015037593985
Indonesia,,,,,,,,,0.0501700006425381,9.37423038482666,0.614300012588501,50.9141387939453,9.99415016174316,78.4278793334961,9.99415016174316,34.6013603210449,14.8195402878181,73.748,69.375,71.509,0.725521792124671,7556824710.98018,,,,,31.78727007587,4.51100015640259,4.40299987792969,5.192,1.203,14732.142857142857
"Iran, Islamic Rep.",,,,,96.8949584960938,97.6356964111328,88.6715927124023,95.1224594116211,,,,,,,,,,77.668,75.409,76.479,2.45625050477123,11230852287.9331,,,,,,12.039999961853,12.0600004196167,4.548,0.8420000000000001,13500.000000000000
Iraq,,,,,,,,,,,,,,,,,,72.486,68.429,70.454,2.87062691405496,6317977150.05254,,,,,,12.8620004653931,,4.437,0.98,
Ireland,,,,,,,,,,,,,,,,,23.2829995160592,84.1,80.5,82.2560975609756,0.289472053527081,1107137377.09949,,,,,,5.73999977111816,5.74049997329712,7.021,1.5530000000000002,67583.333333333333
